72 	 # Number of sensors 
# x z 
0.00 0.00 
2.89 0.79 
5.83 1.39 
8.82 1.72 
11.80 1.44 
14.77 1.87 
17.76 2.10 
20.74 2.45 
23.71 2.90 
26.67 3.37 
29.66 3.57 
32.66 3.70 
35.66 3.88 
38.66 3.97 
41.65 4.11 
44.65 4.25 
47.64 4.03 
50.64 4.07 
53.64 4.11 
56.63 4.38 
59.62 4.59 
62.58 5.09 
65.40 6.10 
68.15 7.30 
71.02 8.19 
73.87 9.12 
76.73 10.04 
79.54 11.08 
82.43 11.87 
84.81 13.70 
87.71 14.47 
90.60 15.27 
93.33 16.51 
96.13 17.58 
98.95 18.62 
101.79 19.58 
104.59 20.67 
107.40 21.71 
110.20 22.79 
113.03 23.79 
115.88 24.72 
118.67 25.83 
121.47 26.91 
124.23 28.07 
126.99 29.25 
129.69 30.56 
132.37 31.91 
135.14 33.07 
138.07 33.72 
140.80 34.96 
143.59 36.05 
146.36 37.21 
149.11 38.41 
151.88 39.56 
154.68 40.64 
157.50 41.66 
160.37 42.53 
163.26 43.34 
164.68 45.98 
167.60 46.68 
170.51 47.38 
173.47 47.90 
176.44 48.32 
179.42 48.65 
182.40 49.02 
185.39 49.29 
188.38 49.50 
191.38 49.63 
194.37 49.78 
197.34 50.21 
200.33 50.46 
203.31 50.80 
636 	 # Number of measurements 
# a b m n rhoa err
11 20 14 17 92942.20  0.01
11 17 13 15 113051.67  0.01
11 14 12 13 123385.89  0.01
12 48 24 36 25470.65  0.01
12 45 23 34 24976.84  0.01
12 42 22 32 28416.75  0.01
12 39 21 30 31499.60  0.01
12 36 20 28 35738.20  0.01
12 33 19 26 41014.68  0.01
12 30 18 24 50439.93  0.01
12 27 17 22 58651.38  0.01
12 24 16 20 64537.32  0.01
12 21 15 18 91526.49  0.01
12 18 14 16 116946.82  0.01
12 15 13 14 115870.48  0.01
13 46 24 35 25453.44  0.01
13 43 23 33 26016.24  0.01
13 40 22 31 29829.09  0.01
13 37 21 29 34990.42  0.01
13 34 20 27 39107.52  0.01
13 31 19 25 49454.56  0.01
13 28 18 23 63313.34  0.01
13 25 17 21 69323.28  0.01
13 22 16 19 86279.17  0.01
13 19 15 17 111418.99  0.01
13 16 14 15 115735.43  0.01
14 47 25 36 26916.41  0.01
14 44 24 34 26060.93  0.01
14 41 23 32 27831.45  0.01
14 38 22 30 32357.60  0.01
14 35 21 28 38441.05  0.01
14 32 20 26 46235.75  0.01
14 29 19 24 61510.80  0.01
14 26 18 22 72486.94  0.01
14 23 17 20 82387.09  0.01
14 20 16 18 105745.84  0.01
14 17 15 16 114926.90  0.01
15 48 26 37 27825.49  0.01
15 45 25 35 26707.41  0.01
15 42 24 33 27856.47  0.01
15 39 23 31 29636.66  0.01
15 36 22 29 36344.01  0.01
15 33 21 27 43563.17  0.01
15 30 20 25 57680.84  0.01
15 27 19 23 79932.38  0.01
15 24 18 21 85153.25  0.01
15 21 17 19 106354.80  0.01
15 18 16 17 106674.35  0.01
16 46 26 36 28469.88  0.01
16 43 25 34 28206.86  0.01
16 40 24 32 30958.69  0.01
16 37 23 30 31970.39  0.01
16 34 22 28 40195.87  0.01
16 31 21 26 54210.31  0.01
16 28 20 24 74024.56  0.01
16 25 19 22 89647.55  0.01
16 22 18 20 106004.27  0.01
16 19 17 18 113076.03  0.01
17 47 27 37 30790.71  0.01
17 44 26 35 28808.12  0.01
17 41 25 33 30628.33  0.01
17 38 24 31 32362.45  0.01
17 35 23 29 35025.86  0.01
17 32 22 27 45838.37  0.01
17 29 21 25 65181.51  0.01
17 26 20 23 88722.62  0.01
17 23 19 21 94114.24  0.01
17 20 18 19 107149.72  0.01
18 48 28 38 32166.16  0.01
18 45 27 36 31388.19  0.01
18 42 26 34 31126.59  0.01
18 39 25 32 34741.68  0.01
18 36 24 30 34874.55  0.01
18 33 23 28 38445.00  0.01
18 30 22 26 57536.95  0.01
18 27 21 24 84163.34  0.01
18 24 20 22 92156.59  0.01
18 21 19 20 114170.35  0.01
19 46 28 37 33736.72  0.01
19 43 27 35 33094.60  0.01
19 40 26 33 35197.98  0.01
19 37 25 31 36652.04  0.01
19 34 24 29 38613.81  0.01
19 31 23 27 44439.08  0.01
19 28 22 25 70263.86  0.01
19 25 21 23 100728.62  0.01
19 22 20 21 102486.66  0.01
20 47 29 38 36251.37  0.01
20 44 28 36 35647.66  0.01
20 41 27 34 37071.20  0.01
20 38 26 32 39736.04  0.01
20 35 25 30 39997.10  0.01
20 32 24 28 43581.84  0.01
20 29 23 26 53358.65  0.01
20 26 22 24 86637.63  0.01
20 23 21 22 89427.64  0.01
21 48 30 39 38526.49  0.01
21 45 29 37 37658.88  0.01
21 42 28 35 38466.39  0.01
21 39 27 33 42700.76  0.01
21 36 26 31 41243.00  0.01
21 33 25 29 45103.11  0.01
21 30 24 27 49432.45  0.01
21 27 23 25 63132.84  0.01
