RB2_W3m_ab_raw.bin
         3.00
11
1
Type of measurement (0=app. resistivity,1=resistance)
1
636
 2
0
4  12.00  0.00 57.00  0.00 27.00  0.00 42.00  0.00 557.30927 
4  12.00  0.00 48.00  0.00 24.00  0.00 36.00  0.00 894.79140 
4  12.00  0.00 39.00  0.00 21.00  0.00 30.00  0.00 1556.10145 
4  12.00  0.00 30.00  0.00 18.00  0.00 24.00  0.00 3573.37095 
4  12.00  0.00 21.00  0.00 15.00  0.00 18.00  0.00 8131.41123 
4  15.00  0.00 141.00  0.00 57.00  0.00 99.00  0.00 103.58943 
4  15.00  0.00 132.00  0.00 54.00  0.00 93.00  0.00 115.58671 
4  15.00  0.00 123.00  0.00 51.00  0.00 87.00  0.00 125.83723 
4  15.00  0.00 114.00  0.00 48.00  0.00 81.00  0.00 145.88426 
4  15.00  0.00 105.00  0.00 45.00  0.00 75.00  0.00 168.71585 
4  15.00  0.00 96.00  0.00 42.00  0.00 69.00  0.00 191.63082 
4  15.00  0.00 87.00  0.00 39.00  0.00 63.00  0.00 212.82116 
4  15.00  0.00 78.00  0.00 36.00  0.00 57.00  0.00 243.91085 
4  15.00  0.00 69.00  0.00 33.00  0.00 51.00  0.00 309.36918 
4  15.00  0.00 60.00  0.00 30.00  0.00 45.00  0.00 563.31184 
4  15.00  0.00 51.00  0.00 27.00  0.00 39.00  0.00 934.90470 
4  15.00  0.00 42.00  0.00 24.00  0.00 33.00  0.00 1577.57787 
4  15.00  0.00 33.00  0.00 21.00  0.00 27.00  0.00 3184.75671 
4  15.00  0.00 24.00  0.00 18.00  0.00 21.00  0.00 8915.18182 
4  18.00  0.00 135.00  0.00 57.00  0.00 96.00  0.00 113.44544 
4  18.00  0.00 126.00  0.00 54.00  0.00 90.00  0.00 124.91690 
4  18.00  0.00 117.00  0.00 51.00  0.00 84.00  0.00 145.51072 
4  18.00  0.00 108.00  0.00 48.00  0.00 78.00  0.00 168.00705 
4  18.00  0.00 99.00  0.00 45.00  0.00 72.00  0.00 193.23856 
4  18.00  0.00 90.00  0.00 42.00  0.00 66.00  0.00 234.28711 
4  18.00  0.00 81.00  0.00 39.00  0.00 60.00  0.00 261.35220 
4  18.00  0.00 72.00  0.00 36.00  0.00 54.00  0.00 320.26100 
4  18.00  0.00 63.00  0.00 33.00  0.00 48.00  0.00 524.01859 
4  18.00  0.00 54.00  0.00 30.00  0.00 42.00  0.00 970.33978 
4  18.00  0.00 45.00  0.00 27.00  0.00 36.00  0.00 1590.37093 
4  18.00  0.00 36.00  0.00 24.00  0.00 30.00  0.00 2978.55802 
4  18.00  0.00 27.00  0.00 21.00  0.00 24.00  0.00 7479.96060 
4  21.00  0.00 138.00  0.00 60.00  0.00 99.00  0.00 111.63455 
4  21.00  0.00 129.00  0.00 57.00  0.00 93.00  0.00 126.16955 
4  21.00  0.00 120.00  0.00 54.00  0.00 87.00  0.00 142.22714 
4  21.00  0.00 111.00  0.00 51.00  0.00 81.00  0.00 169.96166 
4  21.00  0.00 102.00  0.00 48.00  0.00 75.00  0.00 201.63288 
4  21.00  0.00 93.00  0.00 45.00  0.00 69.00  0.00 237.82306 
4  21.00  0.00 84.00  0.00 42.00  0.00 63.00  0.00 281.66316 
4  21.00  0.00 75.00  0.00 39.00  0.00 57.00  0.00 349.00000 
4  21.00  0.00 66.00  0.00 36.00  0.00 51.00  0.00 495.15009 
4  21.00  0.00 57.00  0.00 33.00  0.00 45.00  0.00 968.88542 
4  21.00  0.00 48.00  0.00 30.00  0.00 39.00  0.00 1723.07393 
4  21.00  0.00 39.00  0.00 27.00  0.00 33.00  0.00 3276.51107 
4  21.00  0.00 30.00  0.00 24.00  0.00 27.00  0.00 7758.45546 
4  24.00  0.00 141.00  0.00 63.00  0.00 102.00  0.00 106.19906 
4  24.00  0.00 132.00  0.00 60.00  0.00 96.00  0.00 122.10630 
4  24.00  0.00 123.00  0.00 57.00  0.00 90.00  0.00 138.70749 
4  24.00  0.00 114.00  0.00 54.00  0.00 84.00  0.00 168.71078 
4  24.00  0.00 105.00  0.00 51.00  0.00 78.00  0.00 199.32738 
4  24.00  0.00 96.00  0.00 48.00  0.00 72.00  0.00 240.29056 
4  24.00  0.00 87.00  0.00 45.00  0.00 66.00  0.00 311.51396 
4  24.00  0.00 78.00  0.00 42.00  0.00 60.00  0.00 379.01545 
4  24.00  0.00 69.00  0.00 39.00  0.00 54.00  0.00 509.06248 
4  24.00  0.00 60.00  0.00 36.00  0.00 48.00  0.00 936.15541 
4  24.00  0.00 51.00  0.00 33.00  0.00 42.00  0.00 1709.69553 
4  24.00  0.00 42.00  0.00 30.00  0.00 36.00  0.00 3250.84514 
4  24.00  0.00 33.00  0.00 27.00  0.00 30.00  0.00 7032.42000 
4  27.00  0.00 135.00  0.00 63.00  0.00 99.00  0.00 116.75868 
4  27.00  0.00 126.00  0.00 60.00  0.00 93.00  0.00 137.49304 
4  27.00  0.00 117.00  0.00 57.00  0.00 87.00  0.00 161.01856 
4  27.00  0.00 108.00  0.00 54.00  0.00 81.00  0.00 199.59709 
4  27.00  0.00 99.00  0.00 51.00  0.00 75.00  0.00 242.78085 
4  27.00  0.00 90.00  0.00 48.00  0.00 69.00  0.00 319.08890 
4  27.00  0.00 81.00  0.00 45.00  0.00 63.00  0.00 402.87691 
4  27.00  0.00 72.00  0.00 42.00  0.00 57.00  0.00 534.01252 
4  27.00  0.00 63.00  0.00 39.00  0.00 51.00  0.00 907.02633 
4  27.00  0.00 54.00  0.00 36.00  0.00 45.00  0.00 1703.69762 
4  27.00  0.00 45.00  0.00 33.00  0.00 39.00  0.00 3030.72131 
4  27.00  0.00 36.00  0.00 30.00  0.00 33.00  0.00 7193.54107 
4  30.00  0.00 138.00  0.00 66.00  0.00 102.00  0.00 110.07565 
4  30.00  0.00 129.00  0.00 63.00  0.00 96.00  0.00 129.81730 
4  30.00  0.00 120.00  0.00 60.00  0.00 90.00  0.00 153.84798 
4  30.00  0.00 111.00  0.00 57.00  0.00 84.00  0.00 193.93348 
4  30.00  0.00 102.00  0.00 54.00  0.00 78.00  0.00 239.83812 
4  30.00  0.00 93.00  0.00 51.00  0.00 72.00  0.00 308.39495 
4  30.00  0.00 84.00  0.00 48.00  0.00 66.00  0.00 433.96554 
4  30.00  0.00 75.00  0.00 45.00  0.00 60.00  0.00 549.48375 
4  30.00  0.00 66.00  0.00 42.00  0.00 54.00  0.00 815.70563 
4  30.00  0.00 57.00  0.00 39.00  0.00 48.00  0.00 1643.57906 
4  30.00  0.00 48.00  0.00 36.00  0.00 42.00  0.00 2998.78870 
4  30.00  0.00 39.00  0.00 33.00  0.00 36.00  0.00 6545.82496 
4  33.00  0.00 141.00  0.00 69.00  0.00 105.00  0.00 112.60501 
4  33.00  0.00 132.00  0.00 66.00  0.00 99.00  0.00 120.46024 
4  33.00  0.00 123.00  0.00 63.00  0.00 93.00  0.00 150.75557 
4  33.00  0.00 114.00  0.00 60.00  0.00 87.00  0.00 185.67843 
4  33.00  0.00 105.00  0.00 57.00  0.00 81.00  0.00 236.99633 
4  33.00  0.00 96.00  0.00 54.00  0.00 75.00  0.00 310.84239 
4  33.00  0.00 87.00  0.00 51.00  0.00 69.00  0.00 445.98693 
4  33.00  0.00 78.00  0.00 48.00  0.00 63.00  0.00 622.31050 
4  33.00  0.00 69.00  0.00 45.00  0.00 57.00  0.00 855.95275 
4  33.00  0.00 60.00  0.00 42.00  0.00 51.00  0.00 1618.54376 
4  33.00  0.00 51.00  0.00 39.00  0.00 45.00  0.00 3102.11073 
4  33.00  0.00 42.00  0.00 36.00  0.00 39.00  0.00 6147.11971 
4  36.00  0.00 135.00  0.00 69.00  0.00 102.00  0.00 122.75883 
4  36.00  0.00 126.00  0.00 66.00  0.00 96.00  0.00 138.02044 
4  36.00  0.00 117.00  0.00 63.00  0.00 90.00  0.00 175.83139 
4  36.00  0.00 108.00  0.00 60.00  0.00 84.00  0.00 232.03745 
4  36.00  0.00 99.00  0.00 57.00  0.00 78.00  0.00 296.38835 
4  36.00  0.00 90.00  0.00 54.00  0.00 72.00  0.00 437.27431 
4  36.00  0.00 81.00  0.00 51.00  0.00 66.00  0.00 671.77547 
4  36.00  0.00 72.00  0.00 48.00  0.00 60.00  0.00 919.42853 
4  36.00  0.00 63.00  0.00 45.00  0.00 54.00  0.00 1525.75077 
4  36.00  0.00 54.00  0.00 42.00  0.00 48.00  0.00 2955.48056 
4  36.00  0.00 45.00  0.00 39.00  0.00 42.00  0.00 6139.95521 
4  39.00  0.00 138.00  0.00 72.00  0.00 105.00  0.00 129.81453 
4  39.00  0.00 129.00  0.00 69.00  0.00 99.00  0.00 138.25753 
4  39.00  0.00 120.00  0.00 66.00  0.00 93.00  0.00 164.05603 
4  39.00  0.00 111.00  0.00 63.00  0.00 87.00  0.00 214.57797 
4  39.00  0.00 102.00  0.00 60.00  0.00 81.00  0.00 291.33734 
4  39.00  0.00 93.00  0.00 57.00  0.00 75.00  0.00 408.81383 
4  39.00  0.00 84.00  0.00 54.00  0.00 69.00  0.00 652.64997 
4  39.00  0.00 75.00  0.00 51.00  0.00 63.00  0.00 961.38784 
4  39.00  0.00 66.00  0.00 48.00  0.00 57.00  0.00 1456.92373 
4  39.00  0.00 57.00  0.00 45.00  0.00 51.00  0.00 2804.99543 
4  39.00  0.00 48.00  0.00 42.00  0.00 45.00  0.00 6097.06112 
4  42.00  0.00 141.00  0.00 75.00  0.00 108.00  0.00 134.19892 
4  42.00  0.00 132.00  0.00 72.00  0.00 102.00  0.00 141.68721 
4  42.00  0.00 123.00  0.00 69.00  0.00 96.00  0.00 164.20351 
